Hora;January;February;March;April;May;June;July;August;September;October;November;December;Sabados, domingos y festivos
0 a 1h;P6;P6;P6;P6;P6;P6;P6;P6;P6;P6;P6;P6;P6
1 a 2h;P6;P6;P6;P6;P6;P6;P6;P6;P6;P6;P6;P6;P6
2 a 3h;P6;P6;P6;P6;P6;P6;P6;P6;P6;P6;P6;P6;P6
3 a 4h;P6;P6;P6;P6;P6;P6;P6;P6;P6;P6;P6;P6;P6
4 a 5h;P6;P6;P6;P6;P6;P6;P6;P6;P6;P6;P6;P6;P6
5 a 6h;P6;P6;P6;P6;P6;P6;P6;P6;P6;P6;P6;P6;P6
6 a 7h;P6;P6;P6;P6;P6;P6;P6;P6;P6;P6;P6;P6;P6
7 a 8h;P6;P6;P6;P6;P6;P6;P6;P6;P6;P6;P6;P6;P6
8 a 9h;P2;P2;P3;P5;P5;P4;P2;P4;P4;P5;P3;P2;P6
9 a 10h;P1;P1;P2;P4;P4;P3;P1;P3;P3;P4;P2;P1;P6
10 a 11h;P1;P1;P2;P4;P4;P3;P1;P3;P3;P4;P2;P1;P6
11 a 12h;P1;P1;P2;P4;P4;P3;P1;P3;P3;P4;P2;P1;P6
12 a 13h;P1;P1;P2;P4;P4;P3;P1;P3;P3;P4;P2;P1;P6
13 a 14h;P1;P1;P2;P4;P4;P3;P1;P3;P3;P4;P2;P1;P6
14 a 15h;P2;P2;P3;P5;P5;P4;P2;P4;P4;P5;P3;P2;P6
15 a 16h;P2;P2;P3;P5;P5;P4;P2;P4;P4;P5;P3;P2;P6
16 a 17h;P2;P2;P3;P5;P5;P4;P2;P4;P4;P5;P3;P2;P6
17 a 18h;P2;P2;P3;P5;P5;P4;P2;P4;P4;P5;P3;P2;P6
18 a 19h;P1;P1;P2;P4;P4;P3;P1;P3;P3;P4;P2;P1;P6
19 a 20h;P1;P1;P2;P4;P4;P3;P1;P3;P3;P4;P2;P1;P6
20 a 21h;P1;P1;P2;P4;P4;P3;P1;P3;P3;P4;P2;P1;P6
21 a 22h;P1;P1;P2;P4;P4;P3;P1;P3;P3;P4;P2;P1;P6
22 a 23h;P2;P2;P3;P5;P5;P4;P2;P4;P4;P5;P3;P2;P6
23 a 0h;P2;P2;P3;P5;P5;P4;P2;P4;P4;P5;P3;P2;P6
